Time (year);anchovy;euphausiids;shallow-water-hake;deep-water-hake;horse-mackerel;mesopelagic;redeye;sardine;silver-kob;snoek
0;0.1065;0.038900003;0.0188;0.0188;0.0078;0.019550002;0.0136;0.0661;0.0417;0.0005
0.041666668;0.0962;0.0216;0.0202;0.0202;0.006;0.0132;0.0078;0.0498;0.0417;0.0004
0.083333336;0.0806;0.0132;0.0211;0.0211;0.005;0.0091;0.007900001;0.037100003;0.0417;0.0008
0.125;0.0459;0.0048;0.0251;0.0251;0.0061;0.00465;0.0096;0.0256;0.0417;0.0012
0.16666667;0.0268;0.0046;0.0282;0.0282;0.0082;0.00425;0.0114;0.0269;0.0417;0.0013
0.20833333;0.0092;0.0052;0.036499999;0.036499999;0.0134;0.00455;0.0188;0.0302;0.0417;0.0018
0.25;0.0107;0.0059;0.0417;0.0417;0.0165;0.00525;0.0244;0.0323;0.0417;0.0022
0.29166666;0.0089;0.0139;0.0529;0.0529;0.0227;0.00605;0.032899997;0.0313;0.0417;0.014
0.33333334;0.0055;0.0211;0.059;0.059;0.0259;0.00615;0.0356;0.0281;0.0417;0.0255
0.375;0.0016;0.0232;0.0682;0.0682;0.044;0.01935;0.0406;0.0208;0.0417;0.0727
0.41666666;0.001;0.0181;0.071500006;0.071500006;0.059;0.0325;0.0428;0.0167;0.0417;0.1085
0.45833334;0.0002;0.0108;0.0751;0.0751;0.0868;0.05575;0.0466;0.0144;0.0417;0.1506
0.5;0.0001;0.0087;0.0756;0.0756;0.0995;0.065849996;0.0483;0.0163;0.0417;0.15689999
0.5416667;0;0.0315;0.0731;0.0731;0.1063;0.07795;0.0591;0.0214;0.0417;0.13949999
0.5833333;0;0.0564;0.070199995;0.070199995;0.1004;0.07985;0.0682;0.0248;0.0417;0.1158
0.625;0.0025;0.1103;0.0603;0.0603;0.0895;0.0959;0.0844;0.0309;0.0417;0.076499996
0.6666667;0.0049;0.1393;0.0533;0.0533;0.0846;0.1099;0.0914;0.0336;0.0417;0.0609
0.7083333;0.039300003;0.1245;0.038;0.038;0.069299994;0.1103;0.0905;0.0574;0.0417;0.033
0.75;0.0712;0.0807;0.0296;0.0296;0.059;0.0966;0.0827;0.0784;0.0417;0.0207
0.7916667;0.1001;0.0457;0.0182;0.0182;0.0364;0.0642;0.0605;0.0855;0.0417;0.0066
0.8333333;0.0971;0.0543;0.0151;0.0151;0.0241;0.04555;0.0462;0.071500006;0.0417;0.0048
0.875;0.0948;0.0609;0.014;0.014;0.011;0.0261;0.0297;0.062800007;0.0417;0.0026
0.9166667;0.0954;0.0588;0.015900002;0.015900002;0.0101;0.0253;0.0275;0.0681;0.0417;0.0021
0.9583333;0.1013;0.0478;0.0183;0.0183;0.0085;0.02215;0.0194;0.069699993;0.0417;0.001
