v Prey / Predator >,anchovy,euphausiids,shallow-water-hake < 1 year,shallow-water-hake > 1 year,deep-water-hake < 1 year,deep-water-hake > 1 year,horse-mackerel,mesopelagic,redeye,sardine,silver-kob,snoek
anchovy,0.9,0.8,0.7,0.5,0.7,0.5,0.7,0.8,0.7,0.9,0.9,0.9
euphausiids,0.8,0.9,0.8,0.5,0.8,0.5,0.8,0.9,0.8,0.7,0.8,0.8
shallow-water-hake < 1 year,0.7,0.8,0.9,0.9,0.9,0.9,0.8,0.7,0.8,0.6,0.6,0.6
shallow-water-hake > 1 year,0.5,0.7,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.5,0.5,0.5
deep-water-hake < 1 year,0.7,0.8,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.6,0.6,0.6
deep-water-hake > 1 year,0.5,0.7,0.9,0.9,0.9,0.9,0.7,0.7,0.7,0.5,0.5,0.5
horse-mackerel,0.6,0.8,0.8,0.8,0.8,0.7,0.9,0.7,0.8,0.6,0.7,0.7
mesopelagic,0.8,0.9,0.7,0.7,0.7,0.7,0.7,0.9,0.8,0.6,0.7,0.7
redeye,0.7,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.9,0.7,0.8,0.8
sardine,0.9,0.7,0.6,0.5,0.6,0.5,0.6,0.6,0.7,0.9,0.8,0.8
silver-kob,0.9,0.8,0.6,0.5,0.6,0.5,0.7,0.7,0.8,0.9,0.9,0.9
snoek,0.9,0.8,0.6,0.5,0.6,0.5,0.7,0.7,0.8,0.9,0.9,0.9
sphy,0.5,1,0,0,0,0,0.5,0.5,0.5,1,0,0
lphy,0.5,1,0,0,0,0,0.5,0.5,0.5,1,0,0
szoo,0.5,1,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
lzoo,0.5,1,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
